"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"258","Haji Bunder Rd","1","0, Beverly Park Rd, Chandan Shanti, Mira Road East","3/1/2020 - 3/31/2020, Every day, Daily Average",5148,3994,6633
"258","Haji Bunder Rd","2","0, Central Park Rd, Sector 20, Kharghar","3/1/2020 - 3/31/2020, Every day, Daily Average",3171,2629,3824
"258","Haji Bunder Rd","3","VP Road","3/1/2020 - 3/31/2020, Every day, Daily Average",2735,2117,3532
"258","Haji Bunder Rd","4","Shop No.3/4, Kanjur Marg Village, Damle Colony, Kanjurmarg East, Bhandup East","3/1/2020 - 3/31/2020, Every day, Daily Average",1968,1608,2408
"258","Haji Bunder Rd","5","NH48","3/1/2020 - 3/31/2020, Every day, Daily Average",5060,3951,6480
"258","Haji Bunder Rd","9","0/1, MGM School Marg, Sector 8, Nerul West","3/1/2020 - 3/31/2020, Every day, Daily Average",2450,1960,3061
"258","Haji Bunder Rd","10","700, Aala Hazrat Rd, Jagruti Nagar, Nehru Nagar, Kurla East","3/1/2020 - 3/31/2020, Every day, Daily Average",1293,1011,1652
"258","Haji Bunder Rd","11","0, Lal Bahadur Shastri Rd, Nirmal Nagar, Mulund West","3/1/2020 - 3/31/2020, Every day, Daily Average",2312,1859,2875
"258","Haji Bunder Rd","14","0, PL Lokhande Marg, BMC Colony, Chedda Nagar","3/1/2020 - 3/31/2020, Every day, Daily Average",1191,901,1572
"258","Haji Bunder Rd","15","Rodas Enclave","3/1/2020 - 3/31/2020, Every day, Daily Average",3595,2884,4479
"258","Haji Bunder Rd","16","Kalyan - Shilphata Rd","3/1/2020 - 3/31/2020, Every day, Daily Average",5776,4529,7365
"258","Haji Bunder Rd","18","Sky Pillar Apartment","3/1/2020 - 3/31/2020, Every day, Daily Average",2839,2246,3588
"258","Haji Bunder Rd","19","300-D","3/1/2020 - 3/31/2020, Every day, Daily Average",3623,2696,4867
"258","Haji Bunder Rd","21","0, Vijay Garden Rd, Kavesar, Thane West","3/1/2020 - 3/31/2020, Every day, Daily Average",3874,3129,4795
"258","Haji Bunder Rd","22","Goregaon-Mulund Link Rd","3/1/2020 - 3/31/2020, Every day, Daily Average",1854,1516,2266
"258","Haji Bunder Rd","23","3D-102","3/1/2020 - 3/31/2020, Every day, Daily Average",3716,2770,4983
"258","Haji Bunder Rd","24","Mumbai - Agra National Hwy","3/1/2020 - 3/31/2020, Every day, Daily Average",3154,2561,3884
"258","Haji Bunder Rd","28","Marine Dr","3/1/2020 - 3/31/2020, Every day, Daily Average",1387,1041,1847
"258","Haji Bunder Rd","29","700, Sector 2","3/1/2020 - 3/31/2020, Every day, Daily Average",2573,2068,3201
"258","Haji Bunder Rd","31","Cart Path","3/1/2020 - 3/31/2020, Every day, Daily Average",3012,2487,3646
"258","Haji Bunder Rd","32","F, Panch Ratan Rd, Sunderwadi, Versova, Andheri West","3/1/2020 - 3/31/2020, Every day, Daily Average",3701,2956,4633
"258","Haji Bunder Rd","33","Mumbai - Agra National Hwy","3/1/2020 - 3/31/2020, Every day, Daily Average",1409,1133,1751
"258","Haji Bunder Rd","34","0, Sewri Ford Rd, MPT, Sewri","3/1/2020 - 3/31/2020, Every day, Daily Average",151,113,200
"258","Haji Bunder Rd","35","A-28, Gyan Vikas Road, Shree Ganesh Panchami Society, Sector 23, Kopar Khairane","3/1/2020 - 3/31/2020, Every day, Daily Average",2421,1891,3099
"258","Haji Bunder Rd","36","B/101, Mumbai - Pune Rd, Narayan Patil Wadi, Taha Nagar, Mumbra","3/1/2020 - 3/31/2020, Every day, Daily Average",3172,2335,4308
"258","Haji Bunder Rd","37","Station Rd","3/1/2020 - 3/31/2020, Every day, Daily Average",3638,3002,4408
"258","Haji Bunder Rd","38","Mira Kurti Apt.","3/1/2020 - 3/31/2020, Every day, Daily Average",4853,3699,6366
"258","Haji Bunder Rd","39","500-A","3/1/2020 - 3/31/2020, Every day, Daily Average",2490,1928,3215
"258","Haji Bunder Rd","40","Shahid Bhagat Singh Rd","3/1/2020 - 3/31/2020, Every day, Daily Average",5468,4242,7047
"258","Haji Bunder Rd","41","Virani Towers","3/1/2020 - 3/31/2020, Every day, Daily Average",4031,3045,5336
"258","Haji Bunder Rd","42","Plot No.96, Swami Nityanand Rd, HOC Colony, Panvel","3/1/2020 - 3/31/2020, Every day, Daily Average",3471,2802,4298
"258","Haji Bunder Rd","43","D-222/227, Thane - Belapur Rd, MIDC Industrial Area, Shiravane, Nerul","3/1/2020 - 3/31/2020, Every day, Daily Average",2242,1785,2814
